30대,상대빈도_30대,누적빈도
때,0.0376289065575061,0.0376289065575061
생각,0.03424387939856727,0.07187278595607337
사람,0.02692277414783909,0.09879556010391247
집,0.016216641738172086,0.11501220184208455
친구,0.011886955837203811,0.12689915767928836
말,0.01141462646618909,0.13831378414547746
부분,0.010548689285995434,0.14886247343147288
기억,0.009997638353144926,0.1588601117846178
얘기,0.009840195229473353,0.16870030701409117
경우,0.009210422734787059,0.17791072974887823
그때,0.008816814925608124,0.18672754467448635
결혼,0.00842320711642919,0.19515075179091554
일,0.007793434621742895,0.20294418641265843
강아지,0.007478548374399748,0.21042273478705817
정도,0.007478548374399748,0.2179012831614579
회사,0.006848775879713454,0.22475005904117135
애,0.005746674014012438,0.23049673305518378
요즘,0.005746674014012438,0.23624340706919622
여행,0.005589230890340864,0.24183263795953708
연애,0.0053530662048335035,0.24718570416437058
성격,0.0053530662048335035,0.2525387703692041
다음,0.00519562308116193,0.25773439345036603
고양이,0.00495945839565457,0.2626938518460206
바다,0.00495945839565457,0.2676533102416752
아이,0.004880736833818783,0.272534047075494
시간,0.004880736833818783,0.2774147839093128
느낌,0.004093521215460915,0.2815083051247737
경험,0.0038573565299535543,0.28536566165472727
지금,0.0037786349681177673,0.289144296622845
이사,0.0037786349681177673,0.2929229315909628
옛날,0.0036999134062819807,0.2966228449972448
최근,0.0036999134062819807,0.3003227584035268
청소,0.0036211918444461937,0.303943950247973
캠핑,0.003542470282610407,0.3074864205305834
만약,0.003542470282610407,0.3110288908131938
주변,0.00346374872077462,0.3144926395339684
학교,0.00346374872077462,0.317956388254743
차,0.0033063055971030465,0.321262693851846
사용,0.0033063055971030465,0.32456899944894907
결혼식,0.0032275840352672595,0.3277965834842163
처음,0.003148862473431473,0.3309454459576478
전,0.003070140911595686,0.3340155868692435
가족,0.0029914193497598994,0.33700700621900337
생활,0.0029914193497598994,0.33999842556876325
중요,0.0029126977879241124,0.3429111233566874
나이,0.0029126977879241124,0.3458238211446115
언니,0.0029126977879241124,0.34873651893253566
부모,0.0029126977879241124,0.3516492167204598
성향,0.0028339762260883258,0.3544831929465481
반려동물,0.0027552546642525388,0.35723844761080065
예전,0.0027552546642525388,0.3599937022750532
고등학교,0.0027552546642525388,0.3627489569393057
공부,0.0027552546642525388,0.3655042116035582
시골,0.0026765331024167518,0.368180744705975
노래,0.0026765331024167518,0.3708572778083918
앞,0.0026765331024167518,0.37353381091080856
활동,0.0026765331024167518,0.37621034401322534
자체,0.002597811540580965,0.3788081555538063
반대,0.002519089978745178,0.3813272455325515
아파트,0.002519089978745178,0.38384633551129665
개,0.0024403684169093916,0.386286703928206
나라,0.0024403684169093916,0.3887270723451154
필요,0.0023616468550736046,0.391088719200189
돈,0.0023616468550736046,0.3934503660552626
산,0.0023616468550736046,0.39581201291033624
문제,0.002282925293237818,0.39809493820357406
불편,0.002282925293237818,0.40037786349681187
동물,0.002282925293237818,0.4026607887900497
물,0.002282925293237818,0.4049437140832875
선생,0.002282925293237818,0.4072266393765253
이상,0.002282925293237818,0.4095095646697631
곳,0.002282925293237818,0.41179248996300094
안,0.002282925293237818,0.41407541525623875
밥,0.002282925293237818,0.41635834054947657
형,0.002282925293237818,0.4186412658427144
상황,0.002204203731402031,0.4208454695741164
점,0.002204203731402031,0.4230496733055184
계획,0.0020467606077304574,0.42509643391324886
혼자,0.0019680390458946704,0.4270644729591435
학원,0.0019680390458946704,0.42903251200503817
준비,0.0019680390458946704,0.4310005510509328
용품,0.0018893174840588836,0.43288986853499173
나중,0.0018893174840588836,0.43477918601905063
로봇,0.0018893174840588836,0.43666850350310954
비용,0.0018893174840588836,0.43855782098716845
에스에프,0.0018893174840588836,0.44044713847122735
시절,0.0018105959222230968,0.44225773439345045
직장,0.0018105959222230968,0.44406833031567355
입양,0.0018105959222230968,0.44587892623789666
아버지,0.0018105959222230968,0.44768952216011976
사회,0.00173187436038731,0.44942139652050705
모래,0.00173187436038731,0.45115327088089435
도움,0.00173187436038731,0.45288514524128165
오빠,0.00173187436038731,0.45461701960166895
마음,0.0016531527985515233,0.4562701724002205
이별,0.0016531527985515233,0.45792332519877205
중학교,0.0016531527985515233,0.4595764779973236
인테리어,0.0016531527985515233,0.46122963079587515
과목,0.0016531527985515233,0.4628827835944267
차이,0.0016531527985515233,0.46453593639297824
청소기,0.0016531527985515233,0.4661890891915298
회,0.0015744312367157365,0.46776352042824554
눈,0.0015744312367157365,0.4693379516649613
관계,0.0015744312367157365,0.47091238290167703
날,0.0015744312367157365,0.4724868141383928
길,0.0015744312367157365,0.4740612453751085
동아리,0.0015744312367157365,0.47563567661182427
제도,0.0015744312367157365,0.47721010784854
남자,0.0015744312367157365,0.47878453908525576
동안,0.0014957096748799497,0.4802802487601357
모임,0.0014957096748799497,0.48177595843501564
엄마,0.0014957096748799497,0.4832716681098956
밖,0.0014957096748799497,0.4847673777847755
털,0.0014957096748799497,0.48626308745965546
물고기,0.0014957096748799497,0.4877587971345354
대화,0.0014957096748799497,0.48925450680941535
요리,0.0014957096748799497,0.4907502164842953
말씀,0.0014957096748799497,0.49224592615917523
결국,0.0014957096748799497,0.49374163583405517
음식,0.0014957096748799497,0.4952373455089351
사료,0.0014169881130441629,0.49665433362197925
본인,0.0014169881130441629,0.4980713217350234
반찬,0.0014169881130441629,0.4994883098480675
