형태소,POS,절대빈도,상대빈도
.,SF,2551,0.033703263310873297
고,EC,1726,0.022803540758356455
어,EF,1668,0.022037257233452238
는,JX,1522,0.02010833663627956
이,JKS,1511,0.019963007002246003
었,EP,1414,0.018681463865768265
나,NP,1401,0.018509710661910424
거,NNB,1279,0.016897872902629146
이,VCP,1269,0.01676575505350773
어,EC,1243,0.016422248645792045
는,ETM,1204,0.015906989034218524
가,JKS,1151,0.015206764433875017
하,VV,1124,0.014850046241247193
에,JKB,1101,0.014546175188267936
도,JX,1088,0.014374421984410093
하,XSV,906,0.011969877130400318
을,JKO,880,0.011626370722684635
ᆫ,ETM,849,0.011216805390408244
같,VA,821,0.010846875412868278
?,SF,782,0.010331615801294755
를,JKO,691,0.009129343374289866
어서,EC,596,0.007874223807636412
있,VA,561,0.007411811335711454
은,JX,558,0.007372175980975029
ᆯ,ETM,549,0.007253269916765755
것,NNB,532,0.0070286695732593475
생각,NNG,520,0.0068701281543136474
너,NP,518,0.006843704584489365
들,XSN,514,0.006790857444840798
은,ETM,500,0.006605892456070815
게,EC,488,0.006447351037125116
가,VV,471,0.006222750693618708
ᆫ,JX,469,0.006196327123794425
면,EC,457,0.006037785704848725
는데,EC,437,0.005773550006605893
좀,MAG,434,0.005733914651869468
보,VX,394,0.005205443255383802
되,VV,383,0.0050601136213502445
때,NNG,378,0.004994054696789536
그런,MM,371,0.004901572202404545
하,XSA,360,0.0047562425683709865
좋,VA,349,0.004610912934337429
기,ETN,347,0.004584489364513146
의,JKG,337,0.004452371515391729
안,MAG,334,0.004412736160655305
하,VX,332,0.004386312590831021
던,ETM,326,0.0043070418813581715
그렇,VA-I,325,0.00429383009644603
그,MM,321,0.004240982956797463
있,VV,317,0.004188135817148897
에서,JKB,315,0.004161712247324614
지,EC,294,0.003884264764169639
친구,NNG,288,0.0038049940546967895
근데,MAJ,285,0.0037653586999603647
않,VX,266,0.0035143347866296738
싶,VX,257,0.003395428722420399
없,VA,256,0.003382216937508257
우리,NP,255,0.003369005152596116
사람,NNG,254,0.003355793367683974
거든,EF,245,0.0032368873034746993
을,ETM,244,0.003223675518562558
많이,MAG,242,0.0031972519487382745
그래서,MAJ,236,0.003117981239265425
보,VV,235,0.003104769454353283
가지,VX,235,0.003104769454353283
야,EF,222,0.0029330162504954418
잘,MAG,222,0.0029330162504954418
집,NNG,222,0.0029330162504954418
그냥,MAG,222,0.0029330162504954418
되게,MAG,220,0.0029065926806711587
니까,EC,218,0.002880169110846875
있,VX,213,0.0028141101862861674
수,NNB,205,0.0027084159069890343
로,JKB,205,0.0027084159069890343
주,VX,203,0.0026819923371647508
잖아,EF,200,0.002642356982428326
말,NNG,199,0.0026291451975161842
다고,EC,198,0.002615933412604043
으로,JKB,197,0.002602721627691901
아니,VCN,193,0.0025498744880433346
다,MAG,185,0.0024441802087462015
뭐,NP,179,0.002364909499273352
막,MAG,177,0.0023384859294490684
1,SN,174,0.0022988505747126436
키우,VV,174,0.0022988505747126436
많,VA,172,0.0022724270048883606
더,MAG,172,0.0022724270048883606
음,IC,172,0.0022724270048883606
맞,VV,167,0.0022063680803276523
이제,MAG,167,0.0022063680803276523
지,EF,166,0.0021931562954155106
너무,MAG,166,0.0021931562954155106
뭐,IC,166,0.0021931562954155106
어야,EC,166,0.0021931562954155106
겠,EP,160,0.002113885585942661
어,IC,158,0.0020874620161183775
엠비,NNP,158,0.0020874620161183775
티아,NNP,153,0.0020214030915576696
적,XSN,151,0.001994979521733386
다,EC,148,0.0019553441669969613
ᆯ,JKO,145,0.0019157088122605363
이런,MM,143,0.0018892852424362532
랑,JKB,141,0.00186286167261197
또,MAG,140,0.0018496498876998282
면서,EC,135,0.0017835909631391202
적,NNB,133,0.0017571673933148369
번,NNB,133,0.0017571673933148369
애,NNG,132,0.0017439556084026951
강아지,NNG,130,0.0017175320385784119
만,JX,129,0.0017043202536662703
더라고,EF,125,0.0016514731140177038
이,XSN,123,0.0016250495441934205
알,VV,122,0.001611837759281279
아,IC,120,0.0015854141894569957
일단,MAG,117,0.0015457788347205707
기억,NNG,116,0.0015325670498084292
약간,MAG,116,0.0015325670498084292
ᆫ데,EC,116,0.0015325670498084292
었었,EP,112,0.0014797199101598626
라고,EC,111,0.0014665081252477209
들,VV,110,0.0014532963403355794
으면,EC,110,0.0014532963403355794
학교,NNG,109,0.0014400845554234376
한,MM,107,0.0014136609855991546
좋아하,VV,106,0.0014004492006870128
어떻,VA-I,105,0.0013872374157748713
님,XSN,105,0.0013872374157748713
그러면,MAJ,105,0.0013872374157748713
다,EF,105,0.0013872374157748713
살,VV,104,0.0013740256308627295
어도,EC,104,0.0013740256308627295
그거,NP,103,0.001360813845950588
진짜,MAG,103,0.001360813845950588
못,MAG,101,0.0013343902761263047
혹시,MAG,99,0.0013079667063020215
지,VX,97,0.0012815431364777382
이랑,JKB,92,0.00121548421191703
한테,JKB,92,0.00121548421191703
그리고,MAJ,92,0.00121548421191703
오,VV,91,0.0012022724270048884
정말,MAG,90,0.0011890606420927466
나오,VV,89,0.001175848857180605
여행,NNG,89,0.001175848857180605
나,VV,89,0.001175848857180605
이,JKC,88,0.0011626370722684636
고양이,NNG,88,0.0011626370722684636
시,EP,86,0.0011362135024441803
데,NNB,85,0.0011230017175320386
나,JC,84,0.001109789932619897
모르,VV,84,0.001109789932619897
그러,VV,83,0.0010965781477077553
먹,VV,83,0.0010965781477077553
대하,VV,82,0.0010833663627956137
크,VA,80,0.0010569427929713305
지만,EC,79,0.0010437310080591887
지금,MAG,79,0.0010437310080591887
보다,JKB,78,0.0010305192231470472
선생,NNG,78,0.0010305192231470472
ᆫ가,EC,77,0.0010173074382349055
다른,MM,77,0.0010173074382349055
그것,NP,77,0.0010173074382349055
그,IC,77,0.0010173074382349055
을까,EF,76,0.001004095653322764
정도,NNG,76,0.001004095653322764
힘들,VA,76,0.001004095653322764
같이,MAG,74,0.0009776720834984807
어떤,MM,70,0.0009248249438499141
성격,NNG,69,0.0009116131589377725
3,SN,69,0.0009116131589377725
사실,MAG,69,0.0009116131589377725
다는,ETM,68,0.0008984013740256308
이,MM,68,0.0008984013740256308
라,EC,67,0.0008851895891134892
그때,NNG,67,0.0008851895891134892
놀,VV,66,0.0008719778042013476
듣,VV-I,66,0.0008719778042013476
받,VV-R,66,0.0008719778042013476
그럼,MAJ,64,0.0008455542343770643
이것,NP,63,0.0008323424494649227
라는,ETM,62,0.0008191306645527811
아파트,NNG,61,0.0008059188796406395
일본,NNP,60,0.0007927070947284979
가장,MAG,60,0.0007927070947284979
연애,NNG,59,0.0007794953098163562
방,NNG,59,0.0007794953098163562
재밌,VA,58,0.0007662835249042146
제일,MAG,58,0.0007662835249042146
요즘,NNG,58,0.0007662835249042146
까지,JX,57,0.000753071739992073
이나,JC,57,0.000753071739992073
2,SN,57,0.000753071739992073
이렇,VA-I,57,0.000753071739992073
그래도,MAJ,57,0.000753071739992073
쓰,VV,56,0.0007398599550799313
거나,EC,56,0.0007398599550799313
동물,NNG,56,0.0007398599550799313
ᆫ다고,EC,56,0.0007398599550799313
층,NNG,55,0.0007266481701677897
얘기,NNG,55,0.0007266481701677897
사,VV,55,0.0007266481701677897
결혼,NNG,55,0.0007266481701677897
학년,NNG,54,0.000713436385255648
남,VV,54,0.000713436385255648
아무래도,MAG,53,0.0007002246003435064
으니까,EC,52,0.0006870128154313648
나,EC,52,0.0006870128154313648
아이,NNG,52,0.0006870128154313648
편,NNB,51,0.0006738010305192231
친하,VA,51,0.0006738010305192231
은데,EC,50,0.0006605892456070815
엄청,MAG,50,0.0006605892456070815
마음,NNG,50,0.0006605892456070815
공부,NNG,49,0.0006473774606949399
중,NNB,49,0.0006473774606949399
되,XSV,48,0.0006341656757827982
구나,EF,48,0.0006341656757827982
왜냐하면,MAG,48,0.0006341656757827982
일,NNG,46,0.000607742105958515
경험,NNG,45,0.0005945303210463733
다르,VA,45,0.0005945303210463733
쪼끔,MAG,44,0.0005813185361342318
돈,NNG,44,0.0005813185361342318
별로,MAG,44,0.0005813185361342318
랑,JC,44,0.0005813185361342318
네,EF,43,0.0005681067512220901
필요,NNG,43,0.0005681067512220901
피,NNG,43,0.0005681067512220901
괜찮,VA,43,0.0005681067512220901
딱,MAG,43,0.0005681067512220901
