형태소,POS,절대빈도,상대빈도
.,SF,2494,0.035105499486226655
고,ECE,1602,0.02254972340695072
ㄴ,ETD,1596,0.022465267514040793
는,JX,1514,0.021311036977605113
었,EPT,1332,0.01874920822600397
하,VV,1330,0.01872105626170066
이,JKS,1247,0.017552749743113327
는,ETD,1233,0.01735568599299016
어,ECS,1159,0.016314063313767717
을,JKO,1149,0.01617330349225117
에,JKM,1072,0.015089452866573766
하,XSV,909,0.01279506777585406
거,NNB,853,0.0120068127753614
있,VV,827,0.01164083723941838
같,VA,796,0.011204481792717087
가,JKS,777,0.01093703813183565
나,NP,752,0.010585138578044283
도,JX,744,0.010472530720831047
?,SF,738,0.010388074827921118
이,VCP,715,0.010064327238433061
것,NNB,694,0.009768731613248314
아,ECD,641,0.009022704559210618
를,JKO,618,0.008698956969722562
게,ECD,605,0.008515969201751052
ㄹ,ETD,558,0.007854398040623285
어,ECD,481,0.006770547414945878
은,JX,477,0.00671424348633926
생각,NNG,458,0.0064467998254578215
더,EPT,454,0.006390495896851203
는데,ECD,448,0.006306040003941275
어서,ECD,437,0.006151204200273074
그,MDT,423,0.005954140450149909
좀,MAG,414,0.005827456610785017
들,XSN,409,0.005757076700026745
면,ECE,402,0.005658544824965162
아,ECS,394,0.005545936967751925
때,NNG,387,0.005447405092690342
가,VV,385,0.005419253128387033
어,VV,367,0.00516588544965725
되,VV,366,0.005151809467505595
은,ETD,358,0.005039201610292358
았,EPT,352,0.00495474571738243
그러,VV,338,0.0047576819672592655
보,VV,332,0.004673226074349337
지,ECD,322,0.004532466252832792
뭐,NP,320,0.004504314288529482
어,EFN,282,0.003969426966766606
사람,NNG,281,0.003955350984614952
에서,JKM,273,0.0038427431274017146
많이,MAG,270,0.0038005151809467506
안,MAG,267,0.0037582872344917866
기,ETN,255,0.003589375448671931
좋,VA,255,0.003589375448671931
근데,MAG,243,0.0034204636628520756
으로,JKM,243,0.0034204636628520756
을,ETD,241,0.0033923116985487664
그래서,MAG,215,0.003026336162605746
않,VXV,208,0.0029278042875441634
의,JKG,207,0.0029137283053925086
가지,VXV,200,0.0028151964303309266
싶,VXA,200,0.0028151964303309266
없,VA,196,0.0027588925017243077
있,VXV,190,0.00267443660881438
니까,ECD,184,0.0025899807159044524
그냥,MAG,184,0.0025899807159044524
수,NNB,183,0.0025759047337527976
1,NR,182,0.002561828751601143
잖아,EFN,179,0.002519600805146179
맞,VV,175,0.0024632968765395604
잘,MAG,174,0.002449220894387906
그렇,VA,171,0.002406992947932942
막,MAG,170,0.0023929169657812875
보,VXV,167,0.0023506890193263235
아서,ECD,166,0.0023366130371746687
친구,NNG,165,0.0023225370550230143
그리하,VV,160,0.002252157144264741
더,MAG,155,0.002181777233506468
로,JKM,155,0.002181777233506468
이제,MAG,153,0.0021536252692031586
키우,VV,152,0.0021395492870515042
너무,MAG,152,0.0021395492870515042
우리,NP,148,0.0020832453584448854
아,VV,148,0.0020832453584448854
집,NNG,147,0.002069169376293231
다고,EFN,144,0.002026941429838267
다,ECS,140,0.0019706375012316485
아이,NNG,134,0.0018861816083217207
하,XSA,132,0.0018580296440184115
어떻,VA,130,0.001829877679715102
다,MAG,130,0.001829877679715102
만,JX,128,0.0018017257154117929
티,NNG,123,0.0017313458046535196
좋아하,VV,122,0.001717269822501865
내가,NNG,122,0.001717269822501865
많,VA,120,0.0016891178581985558
느,VV,118,0.0016609658938952466
선생님,NNG,117,0.001646889911743592
겠,EPT,116,0.0016328139295919374
쪼끔,MAG,116,0.0016328139295919374
거든,EFN,115,0.0016187379474402826
같이,MAG,113,0.0015905859831369734
그때,NNG,113,0.0015905859831369734
살,VV,112,0.0015765100009853187
어야,ECD,111,0.0015624340188336641
그거,NP,110,0.0015483580366820095
내,NP,109,0.001534282054530355
은,NNG,106,0.001492054108075391
면서,ECE,105,0.0014779781259237363
되게,MAG,105,0.0014779781259237363
라고,EFN,104,0.0014639021437720817
듣,VV,102,0.0014357501794687725
그런,MDT,101,0.0014216741973171179
이렇,VA,99,0.0013935222330138085
또,MAG,99,0.0013935222330138085
주,VXV,99,0.0013935222330138085
랑,JC,99,0.0013935222330138085
ㄴ데,ECE,95,0.00133721830440719
한테,JKO,93,0.0013090663401038808
편,NNB,93,0.0013090663401038808
먹,VV,92,0.0012949903579522262
이랑,JC,91,0.0012809143758005714
말,NNG,90,0.0012668383936489168
약간,MAG,90,0.0012668383936489168
비,NNG,90,0.0012668383936489168
얘기,NNG,90,0.0012668383936489168
그,VV,89,0.0012527624114972622
아니,VCN,89,0.0012527624114972622
혹시,MAG,89,0.0012527624114972622
으면,ECD,88,0.0012386864293456076
저,NP,87,0.001224610447193953
언니,NNG,86,0.0012105344650422984
오,VV,85,0.0011964584828906438
시,EPH,85,0.0011964584828906438
보다,JKM,85,0.0011964584828906438
고양이,NNG,85,0.0011964584828906438
갈,VV,85,0.0011964584828906438
여행,NNG,81,0.0011401545542840251
부분,NNG,81,0.0011401545542840251
동물,NNG,81,0.0011401545542840251
는,JKS,80,0.0011260785721323705
기억,NNG,80,0.0011260785721323705
야,JX,80,0.0011260785721323705
엠,NNG,80,0.0011260785721323705
2,NR,79,0.001112002589980716
이제,NNG,79,0.001112002589980716
알,VV,79,0.001112002589980716
은데,ECD,79,0.001112002589980716
다니,VV,79,0.001112002589980716
너,NP,79,0.001112002589980716
음,IC,78,0.0010979266078290613
지,EFN,78,0.0010979266078290613
시간,NNG,77,0.0010838506256774067
나,VV,77,0.0010838506256774067
지만,ECE,76,0.0010697746435257521
못,MAG,76,0.0010697746435257521
자기,NP,75,0.0010556986613740973
다,EFN,74,0.0010416226792224427
재밌,VA,74,0.0010416226792224427
힘들,VA,74,0.0010416226792224427
학교,NNG,74,0.0010416226792224427
