형태소,POS,절대빈도,상대빈도
.,SF,2492,0.03532496987738323
고,EC,1545,0.021900914310014886
어,EF,1477,0.02093699057339287
는,JX,1456,0.020639308242965483
었,EP,1386,0.019647033808207526
이,JKS,1374,0.01947692961939188
하,VV,1214,0.01720887376851655
는,ETM,1190,0.01686866539088525
이,VCP,1109,0.015720462116379615
나,NP,1108,0.015706286767311645
에,JKB,1076,0.01525267559713658
거,NNB,1072,0.015195974200864696
을,JKO,1042,0.014770713728825572
어,EC,1014,0.01437380395492239
가,JKS,940,0.013324828123892551
도,JX,889,0.01260188532142604
같,VA,799,0.011326103905308669
하,XSV,794,0.011255227159968814
ᆫ,ETM,768,0.010886668084201573
?,SF,738,0.01046140761216245
어서,EC,670,0.009497483875540435
를,JKO,633,0.008972995960025515
있,VA,565,0.008009072223403501
것,NNB,554,0.007853143383655822
은,JX,545,0.0077255652420440855
ᆯ,ETM,512,0.007257778722801049
게,EC,497,0.007045148486781487
가,VV,488,0.00691757034516975
들,XSN,487,0.006903394996101779
생각,NNG,459,0.0065064852221985965
은,ETM,432,0.006123750797363385
는데,EC,424,0.006010348004819619
좀,MAG,416,0.005896945212275852
때,NNG,404,0.005726841023460202
그,MM,403,0.005712665674392232
면,EC,386,0.005471684740236728
던,ETM,371,0.005259054504217166
되,VV,365,0.0051740024098093414
하,XSA,361,0.005117301013537458
ᆫ,JX,339,0.004805443334042101
보,VX,339,0.004805443334042101
기,ETN,338,0.00479126798497413
어,IC,338,0.00479126798497413
있,VV,320,0.004536111701750656
지,EC,320,0.004536111701750656
하,VX,306,0.004337656814799065
의,JKG,300,0.00425260472039124
그런,MM,292,0.004139201927847474
안,MAG,288,0.00408250053157559
좋,VA,288,0.00408250053157559
사람,NNG,281,0.003983273088099795
근데,MAJ,274,0.0038840456446239987
에서,JKB,274,0.0038840456446239987
많이,MAG,270,0.0038273442483521157
그렇,VA-I,260,0.0036855907576724078
않,VX,258,0.003657240059536466
뭐,IC,253,0.0035863633141966123
그래서,MAJ,252,0.003572187965128641
너,NP,243,0.003444609823516904
을,ETM,239,0.003387908427245021
보,VV,231,0.0032745056347012547
없,VA,230,0.0032603302856332836
으로,JKB,225,0.00318945354029343
싶,VX,216,0.0030618753986816926
가지,VX,215,0.0030477000496137215
친구,NNG,205,0.0029059465589340136
었었,EP,205,0.0029059465589340136
잘,MAG,201,0.0028492451626621305
우리,NP,195,0.0027641930682543057
이제,MAG,194,0.002750017719186335
있,VX,194,0.002750017719186335
수,NNB,194,0.002750017719186335
그냥,MAG,184,0.002608264228506627
1,SN,180,0.0025515628322347436
님,XSN,180,0.0025515628322347436
맞,VV,178,0.0025232121340988023
막,MAG,173,0.002452335388758948
니까,EC,171,0.0024239846906230064
야,EF,167,0.0023672832943511233
다고,EC,167,0.0023672832943511233
잖아,EF,163,0.0023105818980792402
로,JKB,159,0.002253880501807357
더,MAG,156,0.0022113544546034447
키우,VV,153,0.0021688284073995323
집,NNG,153,0.0021688284073995323
너무,MAG,152,0.0021546530583315612
그거,NP,151,0.0021404777092635906
적,XSN,145,0.0020554256148557657
지,EF,145,0.0020554256148557657
번,NNB,142,0.0020128995676518533
뭐,NP,140,0.001984548869515912
아니,VCN,140,0.001984548869515912
다,MAG,138,0.0019561981713799702
다,EC,138,0.0019561981713799702
어야,EC,138,0.0019561981713799702
아,IC,137,0.0019420228223119994
말,NNG,136,0.0019278474732440287
이런,MM,133,0.0018853214260401163
