형태소,POS,절대빈도,상대빈도
하,XSV,1019,0.0118886504
들,XSN,578,0.00674351316
하,XSA,192,0.00224005973
되,XSV,48,0.000560014934
스럽,XSA,21,0.000245006534
적,XSN,21,0.000245006534
씩,XSN,17,0.000198338622
네,XSN,15,0.000175004667
신기,XR,13,0.000151670711
궁금,XR,13,0.000151670711
비슷,XR,11,0.000128336756
성,XSN,8,9.33E-05
끼리,XSN,8,9.33E-05
시키,XSV,8,9.33E-05
시원,XR,7,8.17E-05
제,XSN,7,8.17E-05
님,XSN,7,8.17E-05
로,XSN,7,8.17E-05
불구,XR,6,7.00E-05
애매,XR,6,7.00E-05
웬만,XR,6,7.00E-05
질,XSN,6,7.00E-05
깔끔,XR,5,5.83E-05
당연,XR,5,5.83E-05
깨끗,XR,5,5.83E-05
차분,XR,5,5.83E-05
수월,XR,5,5.83E-05
지,XSA,5,5.83E-05
부,XPN,4,4.67E-05
활발,XR,4,4.67E-05
만만,XR,4,4.67E-05
소중,XR,4,4.67E-05
롭,XSA,4,4.67E-05
아,XSN,4,4.67E-05
감,XSN,4,4.67E-05
대,XPN,3,3.50E-05
저렴,XR,3,3.50E-05
조용,XR,3,3.50E-05
적당,XR,3,3.50E-05
답답,XR,3,3.50E-05
민감,XR,3,3.50E-05
유연,XR,3,3.50E-05
확실,XR,3,3.50E-05
상큼,XR,3,3.50E-05
째,XSN,3,3.50E-05
과,XSN,3,3.50E-05
기,XSN,3,3.50E-05
신,XPN,2,2.33E-05
친,XPN,2,2.33E-05
반,XPN,2,2.33E-05
비,XPN,2,2.33E-05
생생,XR,2,2.33E-05
쌀쌀,XR,2,2.33E-05
심심,XR,2,2.33E-05
따뜻,XR,2,2.33E-05
한적,XR,2,2.33E-05
집요,XR,2,2.33E-05
솔직,XR,2,2.33E-05
그러,XR,2,2.33E-05
강력,XR,2,2.33E-05
딱딱,XR,2,2.33E-05
지저분,XR,2,2.33E-05
쾌적,XR,2,2.33E-05
흉흉,XR,2,2.33E-05
신선,XR,2,2.33E-05
소소,XR,2,2.33E-05
어지간,XR,2,2.33E-05
익숙,XR,2,2.33E-05
똘똘,XR,2,2.33E-05
진지,XR,2,2.33E-05
열악,XR,2,2.33E-05
대단,XR,2,2.33E-05
간단,XR,2,2.33E-05
답,XSA,2,2.33E-05
산,XSN,2,2.33E-05
류,XSN,2,2.33E-05
화,XSN,2,2.33E-05
상,XSN,2,2.33E-05
분,XSN,2,2.33E-05
히,XSN,2,2.33E-05
용,XSN,2,2.33E-05
율,XSN,2,2.33E-05
형,XSN,2,2.33E-05
고,XSN,2,2.33E-05
한,XPN,1,1.17E-05
재,XPN,1,1.17E-05
알,XPN,1,1.17E-05
불,XPN,1,1.17E-05
아담,XR,1,1.17E-05
찝찝,XR,1,1.17E-05
따듯,XR,1,1.17E-05
복잡,XR,1,1.17E-05
굉장,XR,1,1.17E-05
놀면,XR,1,1.17E-05
소심,XR,1,1.17E-05
촉촉,XR,1,1.17E-05
텁텁,XR,1,1.17E-05
막막,XR,1,1.17E-05
솔깃,XR,1,1.17E-05
노련,XR,1,1.17E-05
간결,XR,1,1.17E-05
울창,XR,1,1.17E-05
평범,XR,1,1.17E-05
온전,XR,1,1.17E-05
과감,XR,1,1.17E-05
이러,XR,1,1.17E-05
갑갑,XR,1,1.17E-05
무난,XR,1,1.17E-05
묵직,XR,1,1.17E-05
초라,XR,1,1.17E-05
잡다,XR,1,1.17E-05
다채,XR,1,1.17E-05
찬란,XR,1,1.17E-05
민망,XR,1,1.17E-05
친근,XR,1,1.17E-05
자세,XR,1,1.17E-05
애틋,XR,1,1.17E-05
풍성,XR,1,1.17E-05
풍부,XR,1,1.17E-05
적절,XR,1,1.17E-05
튼튼,XR,1,1.17E-05
뿌듯,XR,1,1.17E-05
조그마,XR,1,1.17E-05
똑똑,XR,1,1.17E-05
적적,XR,1,1.17E-05
세세,XR,1,1.17E-05
든든,XR,1,1.17E-05
끔찍,XR,1,1.17E-05
여차,XR,1,1.17E-05
훌륭,XR,1,1.17E-05
충분,XR,1,1.17E-05
한가,XR,1,1.17E-05
생소,XR,1,1.17E-05
장이,XSN,1,1.17E-05
메,XSN,1,1.17E-05
리,XSN,1,1.17E-05
집,XSN,1,1.17E-05
비,XSN,1,1.17E-05
짜리,XSN,1,1.17E-05
력,XSN,1,1.17E-05
우,XSN,1,1.17E-05
시,XSN,1,1.17E-05
