화자ID,연령대,JKS_가,MAG_지금,NNG_연애,JKO_를,VV_하,EC_고,VX_있,EF_잖아,JKS_이,NNG_학기,NNG_학교,NNG_시작,NNG_연락,VV_오,EF_거든,MAJ_그래서,MAG_되게,NNG_자연,EC_게,VV_만나,EC_는데,MAG_혹시,NNG_소개팅,EC_어,VX_보,ETM_ᆫ,VA_있,EF_어,JX_는,MAG_일단,JKO_을,MM_한,JX_도,VA_없,NNG_앞,ETM_을,NNG_생각,EF_야,EC_으면,NNG_자리,MAG_좀,MAG_너무,EC_어서,VV_자,NNG_만추,MAJ_근데,JX_ᆫ,VA_나쁘,VA_같,VV_그러,EC_지,VX_말,VX_주,VA_좋,VV_사,EC_나,NNG_궁합,ETM_은,VV_보,EF_네,MAJ_그러면,NNG_얘기,VV_나오,MAG_다,MAG_이제,MAG_약간,MM_그,VA_비싸,NNG_돈,VV_주,VX_하,ETM_는,NNG_오바,EF_다,VX_가지,JX_은,EF_고,NNG_나중,VV_되,EC_면,ETM_ᆯ,NNG_이상,VV_알,NNG_사람,EC_라고,VV_있,VV_맞,MAG_엄청,VA_어리,NNG_때,NNG_아빠,VV_따르,NNG_결혼식,VV_가,EC_ᆫ지,MAG_잘,NNG_기억,MAG_안,VV_나,EF_는데,MAG_아마,NNG_회사,NNG_동료,MAG_딱히,EC_라서,NNG_뷔페,VA_맛있,ETM_던,JX_밖에,MM_그런,MAG_그냥,MAG_별로,NNG_재미,VV_보이,NNG_요즘,MAG_많이,EC_거나,VX_싶,NNG_마음,VV_들,MAG_못,EC_라,NNG_가족,NNG_구성원,MAJ_그러니까,NNG_집,NNG_엄마,NNG_동생,MAG_이렇게,VV_살,NNG_남동생,JX_이야,NNG_여동생,MM_다른,NNG_할아버지,VV_챙기,EC_어야,EC_ᆫ다고,MAG_항상,NNG_명절,MAG_매번,NNG_댁,NNG_차례,NNG_제사,JKO_ᆯ,VV_지내,NNG_결혼,MAG_언제,MM_몇,NNG_초반,NNG_중반,MAG_딱,EC_다고,NNG_부모,ETN_기,NNG_후반,NNG_차이,MAG_사실,MM_별,NNG_어머니,JKS_께서,NNG_지역,NNG_사시,MAG_왜,EF_구나,NNG_외가,NNG_밑,MAG_오래,VV_걸리,ETM_ᆫ단,NNG_말,MAG_보통,NNG_정도,NNG_이상형,MAG_굳이,NNG_얼굴,MM_이런,NNG_키,VA_크,NNG_상관,MAG_뚱뚱,MAG_먼저,NNG_호감,NNG_여자,NNG_친구,EC_ᆫ데,NNG_고백,NNG_환승,NNG_자체,NNG_예의,VX_않,MAG_아직,MAJ_그럼,NNG_성격,VV_싸우,VV_헤어지,EF_은데,NNG_이번,NNG_처음,VV_모르,NNG_대화,MAG_자주,NNG_감정,VV_앞서,MAJ_그리고,NNG_평소,NNG_표현,JKG_의,ETM_ᆫ다는,MAG_자꾸,MAG_거의,NNG_거절,VA_싫,EC_ᆫ다,ETM_단,NNG_최근,NNG_기말고사,NNG_시험,NNG_기간,JX_만,NNG_애,NNG_아이디,NNG_마지막,MAG_막,NNG_인위,MAG_갑자기,VV_좋아하,EC_려,VV_끊기,NNG_잠수,VV_타,VV_끝나,VV_끝내,NNG_하루,VV_지나,EC_길래,EC_다,NNG_소개,NNG_차,EC_냐고,VV_물어보,VX_달,EF_더라고,VA_작,VV_생기,VA_예쁘,ETN_다기,NNG_친척,EF_냐,NNG_그때,NNG_인상,MM_저런,NNG_프로그램,NNG_티브이,VV_찾,NNG_릴스,NNG_솔로,NNG_출연자,NNG_인터뷰,NNG_내용,VA_신기하,MAG_원래,NNG_혼자,EC_다거나,MAG_무조건,EF_ᆫ데,ETM_다는,NNG_느낌,NNG_애초,VA_간절하,MM_딴,NNG_아버지,NNG_할머니,MAG_같이,MAG_솔직히,VV_넘,VA_많,NNG_여,EF_나,NNG_옷,MAG_더,NNG_남자,NNG_차이점,VV_느끼,VV_돌아가,NNG_조상,VV_대하,MAG_꼬박꼬박,MAJ_아니면은,MAJ_그래도,NNG_묘,VV_찾아가,NNG_잡초,NNG_중학교,NNG_학년,JX_부터,EC_ᆫ가,NNG_비,NNG_필요,EC_니까,NNG_사이버,MAG_살짝,NNG_의미,EC_지만,VV_낳,MM_내,NNG_고등,NNG_입학,NNG_여고,VV_어떡하,NNG_이혼,NNG_용인,NNG_조금,NNG_지금,NNG_사이,NNG_곳,EC_어도,MAG_아까,NNG_중요,VV_사귀,EC_다가,VV_갈아타,MAG_어떻게,NNG_주변,VA_친하,NNG_중,EF_ᆫ가,MAG_점점,VA_뜸하,VX_지,EC_더니,NNG_절친,VX_버리,NNG_이후,NNG_복도,EC_면은,MAG_진짜,NNG_취급,MAG_일부러,NNG_어깨,VV_치,VV_지나가,EC_ᆫ다거나,NNG_식,MM_어떤,NNG_이유,NNG_극복,NNG_방법,NNG_친인척
SD2401169,10대,0.02332814930015552,0.003110419906687403,0.006220839813374806,0.004665629860031105,0.02177293934681182,0.03421461897356143,0.004665629860031105,0.0015552099533437014,0.026438569206842923,0.004665629860031105,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.01088646967340591,0.004665629860031105,0.004665629860031105,0.0015552099533437014,0.004665629860031105,0.0015552099533437014,0.007776049766718507,0.004665629860031105,0.004665629860031105,0.03265940902021773,0.00933125972006221,0.027993779160186624,0.007776049766718507,0.04665629860031104,0.03576982892690513,0.004665629860031105,0.006220839813374806,0.012441679626749611,0.015552099533437015,0.012441679626749611,0.003110419906687403,0.004665629860031105,0.013996889580093312,0.01088646967340591,0.003110419906687403,0.0015552099533437014,0.013996889580093312,0.004665629860031105,0.00933125972006221,0.0015552099533437014,0.003110419906687403,0.007776049766718507,0.006220839813374806,0.003110419906687403,0.03110419906687403,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.006220839813374806,0.004665629860031105,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.01088646967340591,0.007776049766718507,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.004665629860031105,0.0015552099533437014,0.007776049766718507,0.00933125972006221,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.01866251944012442,0.0015552099533437014,0.0015552099533437014,0.00933125972006221,0.015552099533437015,0.003110419906687403,0.0015552099533437014,0.01088646967340591,0.01088646967340591,0.006220839813374806,0.0015552099533437014,0.004665629860031105,0.006220839813374806,0.003110419906687403,0.006220839813374806,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.007776049766718507,0.006220839813374806,0.0015552099533437014,0.003110419906687403,0.006220839813374806,0.0015552099533437014,0.01088646967340591,0.004665629860031105,0.012441679626749611,0.007776049766718507,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.006220839813374806,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.007776049766718507,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.007776049766718507,0.0015552099533437014,0.004665629860031105,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.006220839813374806,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.004665629860031105,0.004665629860031105,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.004665629860031105,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.003110419906687403,0.003110419906687403,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD2401170,10대,0.018,0.001,0.008,0.01,0.034,0.037,0.008,0.005,0.015,0.001,0.004,0.0,0.007,0.0,0.009,0.004,0.0,0.0,0.007,0.002,0.011,0.001,0.003,0.022,0.006,0.023,0.014,0.033,0.016,0.003,0.008,0.003,0.017,0.005,0.0,0.002,0.007,0.013,0.002,0.0,0.002,0.002,0.005,0.0,0.0,0.005,0.007,0.001,0.023,0.002,0.006,0.0,0.004,0.003,0.003,0.001,0.0,0.008,0.004,0.001,0.002,0.002,0.003,0.001,0.0,0.0,0.008,0.0,0.001,0.002,0.001,0.027,0.0,0.002,0.008,0.016,0.002,0.001,0.006,0.01,0.007,0.002,0.001,0.007,0.001,0.003,0.0,0.001,0.002,0.006,0.0,0.0,0.002,0.011,0.0,0.002,0.001,0.007,0.002,0.004,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.003,0.0,0.021,0.009,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.004,0.004,0.004,0.003,0.001,0.0,0.002,0.0,0.008,0.0,0.003,0.002,0.0,0.002,0.001,0.001,0.002,0.003,0.002,0.0,0.0,0.0,0.002,0.002,0.003,0.0,0.003,0.004,0.001,0.001,0.001,0.001,0.0,0.005,0.002,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.004,0.003,0.001,0.004,0.001,0.007,0.002,0.0,0.0,0.0,0.001,0.0,0.005,0.018,0.002,0.001,0.002,0.0,0.0,0.006,0.0,0.0,0.001,0.0,0.004,0.001,0.0,0.002,0.001,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.002,0.005,0.001,0.003,0.002,0.004,0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.001,0.012,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.001,0.001,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
